frame,time_sec,Thumb_MCP,Thumb_PIP,Thumb_DIP,Index_MCP,Index_PIP,Index_DIP,Middle_MCP,Middle_PIP,Middle_DIP,Ring_MCP,Ring_PIP,Ring_DIP,Pinky_MCP,Pinky_PIP,Pinky_DIP
0,0.0,,,,,,,,,,,,,,,
1,0.033366700033366704,,,,,,,,,,,,,,,
2,0.06673340006673341,,,,,,,,,,,,,,,
3,0.1001001001001001,,,,,,,,,,,,,,,
4,0.13346680013346682,,,,,,,,,,,,,,,
5,0.16683350016683351,,,,,,,,,,,,,,,
6,0.2002002002002002,,,,,,,,,,,,,,,
7,0.2335669002335669,,,,,,,,,,,,,,,
8,0.26693360026693363,,,,,,,,,,,,,,,
9,0.3003003003003003,,,,,,,,,,,,,,,
10,0.33366700033366703,,,,,,,,,,,,,,,
11,0.3670337003670337,,,,,,,,,,,,,,,
12,0.4004004004004004,,,,,,,,,,,,,,,
13,0.4337671004337671,,,,,,,,,,,,,,,
14,0.4671338004671338,,,,,,,,,,,,,,,
15,0.5005005005005005,,,,,,,,,,,,,,,
16,0.5338672005338673,,,,,,,,,,,,,,,
17,0.5672339005672339,,,,,,,,,,,,,,,
18,0.6006006006006006,,,,,,,,,,,,,,,
19,0.6339673006339673,,,,,,,,,,,,,,,
20,0.6673340006673341,,,,,,,,,,,,,,,
21,0.7007007007007007,,,,,,,,,,,,,,,
22,0.7340674007340674,,,,,,,,,,,,,,,
23,0.7674341007674341,,,,,,,,,,,,,,,
24,0.8008008008008008,,,,,,,,,,,,,,,
25,0.8341675008341676,,,,,,,,,,,,,,,
26,0.8675342008675342,,,,,,,,,,,,,,,
27,0.9009009009009009,,,,,,,,,,,,,,,
28,0.9342676009342676,,,,,,,,,,,,,,,
29,0.9676343009676344,,,,,,,,,,,,,,,
30,1.001001001001001,,,,,,,,,,,,,,,
31,1.0343677010343677,,,,,,,,,,,,,,,
32,1.0677344010677345,,,,,,,,,,,,,,,
33,1.1011011011011012,,,,,,,,,,,,,,,
34,1.1344678011344678,,,,,,,,,,,,,,,
35,1.1678345011678346,,,,,,,,,,,,,,,
36,1.2012012012012012,,,,,,,,,,,,,,,
37,1.234567901234568,,,,,,,,,,,,,,,
38,1.2679346012679347,,,,,,,,,,,,,,,
39,1.3013013013013013,,,,,,,,,,,,,,,
40,1.3346680013346681,,,,,,,,,,,,,,,
41,1.3680347013680347,,,,,,,,,,,,,,,
42,1.4014014014014013,,,,,,,,,,,,,,,
43,1.4347681014347682,,,,,,,,,,,,,,,
44,1.4681348014681348,,,,,,,,,,,,,,,
45,1.5015015015015016,,,,,,,,,,,,,,,
46,1.5348682015348682,,,,,,,,,,,,,,,
47,1.5682349015682349,,,,,,,,,,,,,,,
48,1.6016016016016017,,,,,,,,,,,,,,,
49,1.6349683016349683,159.6558987440816,178.05851360908565,163.14160123226173,87.8524145717015,111.80140948635182,135.0,37.73675525941543,147.652556500558,146.30993247402023,25.801152716148003,170.2724214485984,150.2551187030578,19.653824058053313,160.3461759419467,150.2551187030578
50,1.6683350016683351,147.33908727832622,175.42607874009911,175.60129464500443,97.1250163489018,56.309932474020215,149.03624346792648,66.03751102542181,26.565051177077994,167.4711922908485,66.80140948635182,63.43494882292201,130.6012946450045,57.339087278326204,99.46232220802563,108.43494882292201
51,1.7017017017017018,,,,,,,,,,,,,,,
52,1.7350684017350684,,,,,,,,,,,,,,,
53,1.7684351017684352,,,,,,,,,,,,,,,
54,1.8018018018018018,,,,,,,,,,,,,,,
55,1.8351685018351687,,,,,,,,,,,,,,,
56,1.8685352018685353,,,,,,,,,,,,,,,
57,1.901901901901902,,,,,,,,,,,,,,,
58,1.9352686019352687,,,,,,,,,,,,,,,
59,1.9686353019686353,,,,,,,,,,,,,,,
60,2.002002002002002,,,,,,,,,,,,,,,
61,2.0353687020353686,,,,,,,,,,,,,,,
62,2.0687354020687354,,,,,,,,,,,,,,,
63,2.1021021021021022,,,,,,,,,,,,,,,
64,2.135468802135469,,,,,,,,,,,,,,,
65,2.1688355021688355,,,,,,,,,,,,,,,
66,2.2022022022022023,,,,,,,,,,,,,,,
67,2.235568902235569,,,,,,,,,,,,,,,
68,2.2689356022689355,,,,,,,,,,,,,,,
69,2.3023023023023024,,,,,,,,,,,,,,,
70,2.335669002335669,,,,,,,,,,,,,,,
71,2.3690357023690356,,,,,,,,,,,,,,,
72,2.4024024024024024,,,,,,,,,,,,,,,
73,2.4357691024357693,,,,,,,,,,,,,,,
74,2.469135802469136,,,,,,,,,,,,,,,
75,2.5025025025025025,,,,,,,,,,,,,,,
76,2.5358692025358693,,,,,,,,,,,,,,,
77,2.569235902569236,,,,,,,,,,,,,,,
78,2.6026026026026026,,,,,,,,,,,,,,,
79,2.6359693026359694,,,,,,,,,,,,,,,
80,2.6693360026693362,,,,,,,,,,,,,,,
81,2.7027027027027026,,,,,,,,,,,,,,,
82,2.7360694027360695,,,,,,,,,,,,,,,
83,2.7694361027694363,,,,,,,,,,,,,,,
84,2.8028028028028027,,,,,,,,,,,,,,,
85,2.8361695028361695,,,,,,,,,,,,,,,
86,2.8695362028695364,,,,,,,,,,,,,,,
87,2.902902902902903,,,,,,,,,,,,,,,
88,2.9362696029362696,,,,,,,,,,,,,,,
89,2.9696363029696364,,,,,,,,,,,,,,,
90,3.0030030030030033,,,,,,,,,,,,,,,
91,3.0363697030363697,,,,,,,,,,,,,,,
92,3.0697364030697365,,,,,,,,,,,,,,,
93,3.1031031031031033,,,,,,,,,,,,,,,
94,3.1364698031364697,,,,,,,,,,,,,,,
95,3.1698365031698366,,,,,,,,,,,,,,,
96,3.2032032032032034,,,,,,,,,,,,,,,
97,3.2365699032365702,,,,,,,,,,,,,,,
98,3.2699366032699366,,,,,,,,,,,,,,,
99,3.3033033033033035,,,,,,,,,,,,,,,
100,3.3366700033366703,,,,,,,,,,,,,,,
101,3.3700367033700367,,,,,,,,,,,,,,,
102,3.4034034034034035,,,,,,,,,,,,,,,
103,3.4367701034367704,,,,,,,,,,,,,,,
104,3.4701368034701368,,,,,,,,,,,,,,,
105,3.5035035035035036,,,,,,,,,,,,,,,
106,3.5368702035368704,,,,,,,,,,,,,,,
107,3.570236903570237,,,,,,,,,,,,,,,
108,3.6036036036036037,,,,,,,,,,,,,,,
109,3.6369703036369705,,,,,,,,,,,,,,,
110,3.6703370036703373,,,,,,,,,,,,,,,
111,3.7037037037037037,,,,,,,,,,,,,,,
112,3.7370704037370706,,,,,,,,,,,,,,,
113,3.7704371037704374,,,,,,,,,,,,,,,
114,3.803803803803804,,,,,,,,,,,,,,,
115,3.8371705038371706,,,,,,,,,,,,,,,
116,3.8705372038705375,,,,,,,,,,,,,,,
117,3.903903903903904,,,,,,,,,,,,,,,
118,3.9372706039372707,,,,,,,,,,,,,,,
119,3.9706373039706375,,,,,,,,,,,,,,,
120,4.004004004004004,,,,,,,,,,,,,,,
121,4.037370704037371,,,,,,,,,,,,,,,
122,4.070737404070737,,,,,,,,,,,,,,,
123,4.104104104104104,,,,,,,,,,,,,,,
124,4.137470804137471,,,,,,,,,,,,,,,
125,4.170837504170838,,,,,,,,,,,,,,,
126,4.2042042042042045,,,,,,,,,,,,,,,
127,4.237570904237571,,,,,,,,,,,,,,,
128,4.270937604270938,,,,,,,,,,,,,,,
129,4.3043043043043046,,,,,,,,,,,,,,,
130,4.337671004337671,,,,,,,,,,,,,,,
131,4.371037704371038,,,,,,,,,,,,,,,
132,4.404404404404405,,,,,,,,,,,,,,,
133,4.437771104437771,,,,,,,,,,,,,,,
134,4.471137804471138,,,,,,,,,,,,,,,
135,4.504504504504505,,,,,,,,,,,,,,,
136,4.537871204537871,,,,,,,,,,,,,,,
137,4.571237904571238,,,,,,,,,,,,,,,
138,4.604604604604605,,,,,,,,,,,,,,,
139,4.637971304637971,,,,,,,,,,,,,,,
140,4.671338004671338,,,,,,,,,,,,,,,
141,4.704704704704705,,,,,,,,,,,,,,,
142,4.738071404738071,,,,,,,,,,,,,,,
143,4.7714381047714385,,,,,,,,,,,,,,,
144,4.804804804804805,,,,,,,,,,,,,,,
145,4.838171504838171,,,,,,,,,,,,,,,
146,4.8715382048715385,,,,,,,,,,,,,,,
147,4.904904904904905,,,,,,,,,,,,,,,
148,4.938271604938272,,,,,,,,,,,,,,,
149,4.971638304971639,,,,,,,,,,,,,,,
150,5.005005005005005,,,,,,,,,,,,,,,
151,5.038371705038372,,,,,,,,,,,,,,,
152,5.071738405071739,,,,,,,,,,,,,,,
153,5.105105105105105,,,,,,,,,,,,,,,
154,5.138471805138472,,,,,,,,,,,,,,,
155,5.171838505171839,,,,,,,,,,,,,,,
156,5.205205205205205,,,,,,,,,,,,,,,
157,5.238571905238572,,,,,,,,,,,,,,,
158,5.271938605271939,,,,,,,,,,,,,,,
159,5.305305305305305,,,,,,,,,,,,,,,
160,5.3386720053386725,,,,,,,,,,,,,,,
161,5.372038705372039,,,,,,,,,,,,,,,
162,5.405405405405405,,,,,,,,,,,,,,,
163,5.4387721054387725,,,,,,,,,,,,,,,
164,5.472138805472139,,,,,,,,,,,,,,,
165,5.505505505505505,,,,,,,,,,,,,,,
166,5.538872205538873,,,,,,,,,,,,,,,
167,5.572238905572239,,,,,,,,,,,,,,,
168,5.605605605605605,,,,,,,,,,,,,,,
169,5.638972305638973,,,,,,,,,,,,,,,
170,5.672339005672339,,,,,,,,,,,,,,,
171,5.705705705705706,,,,,,,,,,,,,,,
172,5.739072405739073,,,,,,,,,,,,,,,
173,5.772439105772439,,,,,,,,,,,,,,,
174,5.805805805805806,,,,,,,,,,,,,,,
175,5.839172505839173,,,,,,,,,,,,,,,
176,5.872539205872539,,,,,,,,,,,,,,,
177,5.9059059059059065,,,,,,,,,,,,,,,
178,5.939272605939273,,,,,,,,,,,,,,,
179,5.972639305972639,,,,,,,,,,,,,,,
180,6.0060060060060065,,,,,,,,,,,,,,,
181,6.039372706039373,,,,,,,,,,,,,,,
182,6.072739406072739,,,,,,,,,,,,,,,
183,6.106106106106107,,,,,,,,,,,,,,,
184,6.139472806139473,,,,,,,,,,,,,,,
185,6.172839506172839,,,,,,,,,,,,,,,
186,6.206206206206207,,,,,,,,,,,,,,,
187,6.239572906239573,,,,,,,,,,,,,,,
188,6.2729396062729395,,,,,,,,,,,,,,,
189,6.306306306306307,,,,,,,,,,,,,,,
190,6.339673006339673,,,,,,,,,,,,,,,
191,6.3730397063730395,,,,,,,,,,,,,,,
192,6.406406406406407,,,,,,,,,,,,,,,
193,6.439773106439773,,,,,,,,,,,,,,,
194,6.4731398064731405,,,,,,,,,,,,,,,
195,6.506506506506507,,,,,,,,,,,,,,,
196,6.539873206539873,,,,,,,,,,,,,,,
197,6.5732399065732405,,,,,,,,,,,,,,,
198,6.606606606606607,,,,,,,,,,,,,,,
199,6.639973306639973,,,,,,,,,,,,,,,
200,6.673340006673341,,,,,,,,,,,,,,,
201,6.706706706706707,168.49226930308717,168.6078641684473,178.58557678859793,14.036243467926484,171.67434966957325,177.58049078334355,4.108112177135841,170.53767779197443,172.87498365109823,6.190420952672201,175.23635830927378,171.869897645844,9.782407031807248,180.0,168.6900675259798
202,6.740073406740073,,,,,,,,,,,,,,,
203,6.773440106773441,,,,,,,,,,,,,,,
204,6.806806806806807,,,,,,,,,,,,,,,
205,6.8401735068401734,,,,,,,,,,,,,,,
206,6.873540206873541,,,,,,,,,,,,,,,
207,6.906906906906907,,,,,,,,,,,,,,,
208,6.9402736069402735,,,,,,,,,,,,,,,
209,6.973640306973641,,,,,,,,,,,,,,,
210,7.007007007007007,,,,,,,,,,,,,,,
211,7.040373707040374,,,,,,,,,,,,,,,
212,7.073740407073741,,,,,,,,,,,,,,,
213,7.107107107107107,,,,,,,,,,,,,,,
214,7.140473807140474,,,,,,,,,,,,,,,
215,7.173840507173841,,,,,,,,,,,,,,,
216,7.207207207207207,,,,,,,,,,,,,,,
217,7.240573907240575,,,,,,,,,,,,,,,
218,7.273940607273941,,,,,,,,,,,,,,,
219,7.307307307307307,,,,,,,,,,,,,,,
220,7.340674007340675,,,,,,,,,,,,,,,
221,7.374040707374041,,,,,,,,,,,,,,,
222,7.407407407407407,,,,,,,,,,,,,,,
223,7.440774107440775,,,,,,,,,,,,,,,
224,7.474140807474141,,,,,,,,,,,,,,,
225,7.5075075075075075,,,,,,,,,,,,,,,
226,7.540874207540875,,,,,,,,,,,,,,,
227,7.574240907574241,,,,,,,,,,,,,,,
228,7.607607607607608,,,,,,,,,,,,,,,
229,7.640974307640975,,,,,,,,,,,,,,,
230,7.674341007674341,,,,,,,,,,,,,,,
231,7.707707707707708,,,,,,,,,,,,,,,
232,7.741074407741075,,,,,,,,,,,,,,,
233,7.774441107774441,,,,,,,,,,,,,,,
234,7.807807807807808,,,,,,,,,,,,,,,
235,7.841174507841175,,,,,,,,,,,,,,,
236,7.874541207874541,,,,,,,,,,,,,,,
237,7.907907907907909,,,,,,,,,,,,,,,
238,7.941274607941275,,,,,,,,,,,,,,,
239,7.974641307974641,,,,,,,,,,,,,,,
240,8.008008008008009,,,,,,,,,,,,,,,
241,8.041374708041374,,,,,,,,,,,,,,,
242,8.074741408074741,,,,,,,,,,,,,,,
243,8.108108108108109,,,,,,,,,,,,,,,
244,8.141474808141474,,,,,,,,,,,,,,,
245,8.174841508174842,,,,,,,,,,,,,,,
246,8.208208208208209,,,,,,,,,,,,,,,
247,8.241574908241574,,,,,,,,,,,,,,,
248,8.274941608274942,,,,,,,,,,,,,,,
249,8.308308308308309,,,,,,,,,,,,,,,
250,8.341675008341676,,,,,,,,,,,,,,,
251,8.375041708375042,,,,,,,,,,,,,,,
252,8.408408408408409,,,,,,,,,,,,,,,
253,8.441775108441776,,,,,,,,,,,,,,,
254,8.475141808475142,,,,,,,,,,,,,,,
255,8.508508508508509,,,,,,,,,,,,,,,
256,8.541875208541876,,,,,,,,,,,,,,,
257,8.575241908575242,,,,,,,,,,,,,,,
258,8.608608608608609,,,,,,,,,,,,,,,
259,8.641975308641976,,,,,,,,,,,,,,,
260,8.675342008675342,,,,,,,,,,,,,,,
261,8.70870870870871,,,,,,,,,,,,,,,
262,8.742075408742076,,,,,,,,,,,,,,,
263,8.775442108775442,,,,,,,,,,,,,,,
264,8.80880880880881,,,,,,,,,,,,,,,
265,8.842175508842177,,,,,,,,,,,,,,,
266,8.875542208875542,,,,,,,,,,,,,,,
267,8.90890890890891,,,,,,,,,,,,,,,
268,8.942275608942277,,,,,,,,,,,,,,,
269,8.975642308975642,,,,,,,,,,,,,,,
270,9.00900900900901,,,,,,,,,,,,,,,
271,9.042375709042377,,,,,,,,,,,,,,,
272,9.075742409075742,,,,,,,,,,,,,,,
273,9.10910910910911,,,,,,,,,,,,,,,
274,9.142475809142477,,,,,,,,,,,,,,,
275,9.175842509175842,,,,,,,,,,,,,,,
276,9.20920920920921,,,,,,,,,,,,,,,
277,9.242575909242577,,,,,,,,,,,,,,,
278,9.275942609275942,,,,,,,,,,,,,,,
279,9.30930930930931,,,,,,,,,,,,,,,
280,9.342676009342677,,,,,,,,,,,,,,,
281,9.376042709376042,,,,,,,,,,,,,,,
282,9.40940940940941,,,,,,,,,,,,,,,
283,9.442776109442777,,,,,,,,,,,,,,,
284,9.476142809476142,,,,,,,,,,,,,,,
285,9.50950950950951,,,,,,,,,,,,,,,
286,9.542876209542877,,,,,,,,,,,,,,,
287,9.576242909576242,,,,,,,,,,,,,,,
288,9.60960960960961,,,,,,,,,,,,,,,
289,9.642976309642977,,,,,,,,,,,,,,,
290,9.676343009676343,,,,,,,,,,,,,,,
291,9.70970970970971,,,,,,,,,,,,,,,
292,9.743076409743077,,,,,,,,,,,,,,,
293,9.776443109776443,,,,,,,,,,,,,,,
294,9.80980980980981,,,,,,,,,,,,,,,
295,9.843176509843177,,,,,,,,,,,,,,,
296,9.876543209876544,,,,,,,,,,,,,,,
297,9.90990990990991,,,,,,,,,,,,,,,
298,9.943276609943277,,,,,,,,,,,,,,,
299,9.976643309976645,,,,,,,,,,,,,,,
300,10.01001001001001,,,,,,,,,,,,,,,
301,10.043376710043377,,,,,,,,,,,,,,,
302,10.076743410076745,,,,,,,,,,,,,,,
303,10.11011011011011,,,,,,,,,,,,,,,
304,10.143476810143477,,,,,,,,,,,,,,,
305,10.176843510176845,,,,,,,,,,,,,,,
306,10.21021021021021,,,,,,,,,,,,,,,
307,10.243576910243577,,,,,,,,,,,,,,,
308,10.276943610276945,,,,,,,,,,,,,,,
309,10.31031031031031,,,,,,,,,,,,,,,
310,10.343677010343677,,,,,,,,,,,,,,,
311,10.377043710377045,,,,,,,,,,,,,,,
312,10.41041041041041,,,,,,,,,,,,,,,
313,10.443777110443778,,,,,,,,,,,,,,,
314,10.477143810477145,,,,,,,,,,,,,,,
315,10.51051051051051,,,,,,,,,,,,,,,
316,10.543877210543878,,,,,,,,,,,,,,,
317,10.577243910577245,,,,,,,,,,,,,,,
318,10.61061061061061,,,,,,,,,,,,,,,
319,10.643977310643978,,,,,,,,,,,,,,,
320,10.677344010677345,,,,,,,,,,,,,,,
321,10.71071071071071,,,,,,,,,,,,,,,
322,10.744077410744078,,,,,,,,,,,,,,,
323,10.777444110777445,,,,,,,,,,,,,,,
324,10.81081081081081,,,,,,,,,,,,,,,
325,10.844177510844178,,,,,,,,,,,,,,,
326,10.877544210877545,,,,,,,,,,,,,,,
327,10.91091091091091,,,,,,,,,,,,,,,
328,10.944277610944278,,,,,,,,,,,,,,,
329,10.977644310977645,,,,,,,,,,,,,,,
330,11.01101101101101,,,,,,,,,,,,,,,
331,11.044377711044378,,,,,,,,,,,,,,,
332,11.077744411077745,,,,,,,,,,,,,,,
333,11.11111111111111,,,,,,,,,,,,,,,
334,11.144477811144478,,,,,,,,,,,,,,,
335,11.177844511177845,,,,,,,,,,,,,,,
336,11.21121121121121,,,,,,,,,,,,,,,
337,11.244577911244578,,,,,,,,,,,,,,,
338,11.277944611277945,,,,,,,,,,,,,,,
339,11.311311311311313,,,,,,,,,,,,,,,
340,11.344678011344678,,,,,,,,,,,,,,,
341,11.378044711378045,,,,,,,,,,,,,,,
342,11.411411411411413,,,,,,,,,,,,,,,
343,11.444778111444778,,,,,,,,,,,,,,,
344,11.478144811478145,,,,,,,,,,,,,,,
345,11.511511511511513,,,,,,,,,,,,,,,
346,11.544878211544878,,,,,,,,,,,,,,,
347,11.578244911578246,,,,,,,,,,,,,,,
348,11.611611611611613,,,,,,,,,,,,,,,
349,11.644978311644978,,,,,,,,,,,,,,,
350,11.678345011678346,,,,,,,,,,,,,,,
351,11.711711711711713,,,,,,,,,,,,,,,
352,11.745078411745078,,,,,,,,,,,,,,,
353,11.778445111778446,,,,,,,,,,,,,,,
354,11.811811811811813,,,,,,,,,,,,,,,
