frame,time_sec,THUMB_MCP_x,THUMB_MCP_y,THUMB_PIP_x,THUMB_PIP_y,THUMB_DIP_x,THUMB_DIP_y,THUMB_TIP_x,THUMB_TIP_y,INDEX_MCP_x,INDEX_MCP_y,INDEX_PIP_x,INDEX_PIP_y,INDEX_DIP_x,INDEX_DIP_y,INDEX_TIP_x,INDEX_TIP_y,MIDDLE_MCP_x,MIDDLE_MCP_y,MIDDLE_PIP_x,MIDDLE_PIP_y,MIDDLE_DIP_x,MIDDLE_DIP_y,MIDDLE_TIP_x,MIDDLE_TIP_y,RING_MCP_x,RING_MCP_y,RING_PIP_x,RING_PIP_y,RING_DIP_x,RING_DIP_y,RING_TIP_x,RING_TIP_y,PINKY_MCP_x,PINKY_MCP_y,PINKY_PIP_x,PINKY_PIP_y,PINKY_DIP_x,PINKY_DIP_y,PINKY_TIP_x,PINKY_TIP_y,Cluster
47,1.5682349015682349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1.6016016016016017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,1.6349683016349683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1.6683350016683351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1.7017017017017018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,1.7350684017350684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,1.7684351017684352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,1.8018018018018018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,1.8351685018351687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,1.8685352018685353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,1.901901901901902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,1.9352686019352687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
